Gp0004031,"Chlamydia trachomatis sv. J 6276",PRJNA32183,SAMN02470780,Ga0028242,ABYD00000000,645058820,"Chlamydia trachomatis sv. J 6276",564416,"","",Mesophile,"","",
Gp0004032,"Chlamydia trachomatis sv. J 6276s",PRJNA32185,SAMN02470781,Ga0028243,ABYE00000000,645058821,"Chlamydia trachomatis sv. J 6276s",564417,"","",Mesophile,"","",
Gp0004033,"Chlamydia trachomatis sv. F 70",PRJNA32187,SAMN02470778,Ga0028244,ABYF00000000,645058818,"Chlamydia trachomatis sv. F 70",564418,"","",Mesophile,"","",
Gp0019012,"Clostridium difficile P53",PRJNA86031,SAMN01766717,Ga0023522,AWZO00000000,2558860638,"Clostridium difficile P53",1151427,"","",Mesophile,"","",
Gp0019072,"Clostridium difficile P68",PRJNA86041,SAMN01766722,Ga0023524,AWZM00000000,2558860640,"Clostridium difficile P68",1151432,"","",Mesophile,"","",
Gp0013446,"Pseudomonas fluorescens F113",PRJNA76715,"",Ga0009427,CP003150,2511231156,"Pseudomonas fluorescens F113",1114970,"","",Mesophile,"","",
Gp0020476,"Enterococcus hirae ATCC 8043",PRJNA88835,SAMN00809107,Ga0023789,AJAI00000000,2558860905,"Enterococcus hirae ATCC 8043",1158599,"","",Mesophile,"","",
Gp0011323,"Streptococcus salivarius 57.I",PRJNA68129,"",Ga0030726,CP002888,651053073,"Streptococcus salivarius 57.I",1046629,"","",Mesophile,"","",
Gp0011553,"Pseudomonas stutzeri Lautrop AB 201, ATCC 17588",PRJNA68131,"",Ga0030012,CP002881,650716077,"Pseudomonas stutzeri Lautrop AB 201, ATCC 17588",96563,"","",Mesophile,"","",
Gp0007619,"Escherichia coli G58-1",PRJNA48249,SAMN00015374,Ga0015529,AFDX00000000,2534682080,"Escherichia coli G58-1",754078,"","",Mesophile,"","",
Gp0021127,"Enterococcus faecalis 12030",PRJNA157733,SAMN00847598,Ga0023829,ASCW00000000,2558860945,"Enterococcus faecalis 12030",1169282,"",37,Mesophile,"","",37.0
Gp0015228,"Pseudomonas stutzeri SDM-LAC",PRJNA74741,SAMN02470922,Ga0011409,AGSX00000000,2516653030,"Pseudomonas stutzeri SDM-LAC",1109445,"","",Mesophile,"","",
Gp0016782,"Lactobacillus casei CRF28",PRJNA68467,SAMN02472005,Ga0015086,AFYN00000000,2534681635,"Lactobacillus casei CRF28",1051654,"",37,Mesophile,"","",37.0
